档距,初应力,高差,绝缘子串长度,绝缘子串夹角,冰厚,脱冰率,串型,导线型号,跳跃高度
0.4,0.421182266,0,0,0,1,0.666666667,A,400/50,0.735693575
0.4,0.421182266,0,0,0,0.035714286,0,A,400/50,0.011631141
0.4,0.421182266,0,0,0,0.142857143,0,A,400/50,0.058332978
0.4,0.421182266,0,0,0,0.25,0,A,400/50,0.112935131
0.4,0.421182266,0,0,0,0.357142857,0,A,400/50,0.1744223
0.4,0.421182266,0,0,0,0.464285714,0,A,400/50,0.241837949
0.4,0.421182266,0,0,0,0.571428571,0,A,400/50,0.308965477
0.4,0.421182266,0,0,0,0.678571429,0,A,400/50,0.370478195
0.4,0.421182266,0,0,0,0.785714286,0,A,400/50,0.423635423
0.4,0.421182266,0,0,0,0.892857143,0,A,400/50,0.460651816
0.4,0.421182266,0,0,0,1,0,A,400/50,0.475936347
0.4,0.421182266,0,0,0,0,0.1,A,400/50,0.001226968
0.4,0.421182266,0,0,0,0.107142857,0.1,A,400/50,0.049650846
0.4,0.421182266,0,0,0,0.214285714,0.1,A,400/50,0.106788891
0.4,0.421182266,0,0,0,0.321428571,0.1,A,400/50,0.172286554
0.4,0.421182266,0,0,0,0.428571429,0.1,A,400/50,0.243673782
0.4,0.421182266,0,0,0,0.535714286,0.1,A,400/50,0.315220401
0.4,0.421182266,0,0,0,0.642857143,0.1,A,400/50,0.381161841
0.4,0.421182266,0,0,0,0.75,0.1,A,400/50,0.438113963
0.4,0.421182266,0,0,0,0.857142857,0.1,A,400/50,0.476767887
0.4,0.421182266,0,0,0,0.964285714,0.1,A,400/50,0.491846449
0.4,0.421182266,0,0,0,0,0.4,A,400/50,0.021670544
0.4,0.421182266,0,0,0,0.107142857,0.4,A,400/50,0.080325839
0.4,0.421182266,0,0,0,0.214285714,0.4,A,400/50,0.148906548
0.4,0.421182266,0,0,0,0.321428571,0.4,A,400/50,0.226732068
0.4,0.421182266,0,0,0,0.428571429,0.4,A,400/50,0.312074858
0.4,0.421182266,0,0,0,0.535714286,0.4,A,400/50,0.398127335
0.4,0.421182266,0,0,0,0.642857143,0.4,A,400/50,0.477812471
0.4,0.421182266,0,0,0,0.75,0.4,A,400/50,0.543121853
0.4,0.421182266,0,0,0,0.857142857,0.4,A,400/50,0.585417375
0.4,0.421182266,0,0,0,0.964285714,0.4,A,400/50,0.60078445
0.4,0.421182266,0,0,0,0,0.7,A,400/50,0.007978537
0.4,0.421182266,0,0,0,0.107142857,0.7,A,400/50,0.069414017
0.4,0.421182266,0,0,0,0.214285714,0.7,A,400/50,0.143456041
0.4,0.421182266,0,0,0,0.321428571,0.7,A,400/50,0.228011511
0.4,0.421182266,0,0,0,0.428571429,0.7,A,400/50,0.322471365
0.4,0.421182266,0,0,0,0.535714286,0.7,A,400/50,0.425040452
0.4,0.421182266,0,0,0,0.642857143,0.7,A,400/50,0.527303926
0.4,0.421182266,0,0,0,0.75,0.7,A,400/50,0.619750672
0.4,0.421182266,0,0,0,0.857142857,0.7,A,400/50,0.689494278
0.4,0.421182266,0,0,0,0.964285714,0.7,A,400/50,0.72362652
0.4,0.421182266,0,0,0,0,0.266666667,A,400/50,0.003097785
0.4,0.421182266,0,0,0,0.107142857,0.266666667,A,400/50,0.055105283
0.4,0.421182266,0,0,0,0.214285714,0.266666667,A,400/50,0.116860526
0.4,0.421182266,0,0,0,0.321428571,0.266666667,A,400/50,0.187266651
0.4,0.421182266,0,0,0,0.428571429,0.266666667,A,400/50,0.265504109
0.4,0.421182266,0,0,0,0.535714286,0.266666667,A,400/50,0.345203199
0.4,0.421182266,0,0,0,0.642857143,0.266666667,A,400/50,0.420123341
0.4,0.421182266,0,0,0,0.75,0.266666667,A,400/50,0.484117118
0.4,0.421182266,0,0,0,0.857142857,0.266666667,A,400/50,0.529865564
0.4,0.421182266,0,0,0,0.964285714,0.266666667,A,400/50,0.549470721
0.4,0.346469622,0,1,0,0.035714286,1,A,400/50,0.029828321
0.4,0.346469622,0,1,0,0.142857143,1,A,400/50,0.10028928
0.4,0.346469622,0,1,0,0.25,1,A,400/50,0.184969746
0.4,0.346469622,0,1,0,0.357142857,1,A,400/50,0.282127633
0.4,0.346469622,0,1,0,0.464285714,1,A,400/50,0.389255547
0.4,0.346469622,0,1,0,0.571428571,1,A,400/50,0.502792272
0.4,0.346469622,0,1,0,0.678571429,1,A,400/50,0.627200922
0.4,0.346469622,0,1,0,0.785714286,1,A,400/50,0.748228187
0.4,0.346469622,0,1,0,0.892857143,1,A,400/50,0.847213261
0.4,0.346469622,0,1,0,1,1,A,400/50,0.897599737
0.4,0.346469622,0,1,0,0.035714286,0.333333333,A,400/50,0.025096739
0.4,0.346469622,0,1,0,0.142857143,0.333333333,A,400/50,0.09014591
0.4,0.346469622,0,1,0,0.25,0.333333333,A,400/50,0.16842916
0.4,0.346469622,0,1,0,0.357142857,0.333333333,A,400/50,0.25829658
0.4,0.346469622,0,1,0,0.464285714,0.333333333,A,400/50,0.361430901
0.4,0.346469622,0,1,0,0.571428571,0.333333333,A,400/50,0.475674366
0.4,0.346469622,0,1,0,0.678571429,0.333333333,A,400/50,0.596266699
0.4,0.346469622,0,1,0,0.785714286,0.333333333,A,400/50,0.718546875
0.4,0.346469622,0,1,0,0.892857143,0.333333333,A,400/50,0.844860147
0.4,0.346469622,0,1,0,1,0.333333333,A,400/50,0.944400432
0.4,0.346469622,0,1,0,0.035714286,0.666666667,A,400/50,0.022604085
0.4,0.346469622,0,1,0,0.142857143,0.666666667,A,400/50,0.083912997
0.4,0.346469622,0,1,0,0.25,0.666666667,A,400/50,0.157289554
0.4,0.346469622,0,1,0,0.357142857,0.666666667,A,400/50,0.240741086
0.4,0.346469622,0,1,0,0.464285714,0.666666667,A,400/50,0.331296772
0.4,0.346469622,0,1,0,0.571428571,0.666666667,A,400/50,0.432037296
0.4,0.346469622,0,1,0,0.678571429,0.666666667,A,400/50,0.533468248
0.4,0.346469622,0,1,0,0.785714286,0.666666667,A,400/50,0.626231022
0.4,0.346469622,0,1,0,0.892857143,0.666666667,A,400/50,0.698028419
0.4,0.346469622,0,1,0,1,0.666666667,A,400/50,0.735693575
0.4,0.346469622,0,1,0,0.035714286,0,A,400/50,0.013467171
0.4,0.346469622,0,1,0,0.142857143,0,A,400/50,0.063029183
0.4,0.346469622,0,1,0,0.25,0,A,400/50,0.121858608
0.4,0.346469622,0,1,0,0.357142857,0,A,400/50,0.191472108
0.4,0.346469622,0,1,0,0.464285714,0,A,400/50,0.267713163
0.4,0.346469622,0,1,0,0.571428571,0,A,400/50,0.346952164
0.4,0.199507389,0,1,0,0.678571429,0,A,400/50,0.432878859
0.4,0.199507389,0,1,0,0.785714286,0,A,400/50,0.516510811
0.4,0.199507389,0,1,0,0.892857143,0,A,400/50,0.591352537
0.4,0.199507389,0,1,0,1,0,A,400/50,0.662409587
0.4,0.199507389,0,1,0,0.035714286,0.666666667,A,400/50,0.032921979
0.4,0.199507389,0,1,0,0.142857143,0.666666667,A,400/50,0.100892053
0.4,0.199507389,0,1,0,0.25,0.666666667,A,400/50,0.18212667
0.4,0.199507389,0,1,0,0.357142857,0.666666667,A,400/50,0.277655478
0.4,0.199507389,0,1,0,0.464285714,0.666666667,A,400/50,0.385723616
0.4,0.199507389,0,1,0,0.571428571,0.666666667,A,400/50,0.502664327
0.4,0.199507389,0,1,0,0.678571429,0.666666667,A,400/50,0.624375141
0.4,0.199507389,0,1,0,0.785714286,0.666666667,A,400/50,0.748797943
0.4,0.199507389,0,1,0,0.892857143,0.666666667,A,400/50,0.880120106
0.4,0.199507389,0,1,0,1,0.666666667,A,400/50,1
0.4,0.199507389,0,1,0,0.035714286,0,A,400/50,0.032921979
0.4,0.199507389,0,1,0,0.142857143,0,A,400/50,0.100892053
0.4,0.199507389,0,1,0,0.25,0,A,400/50,0.18212667
0.4,0.199507389,0,1,0,0.357142857,0,A,400/50,0.277655478
0.4,0.199507389,0,1,0,0.464285714,0,A,400/50,0.385723616
0.4,0.199507389,0,1,0,0.571428571,0,A,400/50,0.502664327
0.4,0.199507389,0,1,0,0.678571429,0,A,400/50,0.624375141
0.4,0.199507389,0,1,0,0.785714286,0,A,400/50,0.748797943
0.4,0.199507389,0,1,0,0.892857143,0,A,400/50,0.880120106
0.4,0.199507389,0,1,0,1,0,A,400/50,1
0.4,0.199507389,0,1,0,0.035714286,0.666666667,A,400/50,0.022604085
0.4,0.199507389,0,1,0,0.142857143,0.666666667,A,400/50,0.083912997
0.4,0.199507389,0,1,0,0.25,0.666666667,A,400/50,0.157289554
0.4,0.199507389,0,1,0,0.357142857,0.666666667,A,400/50,0.240741086
0.4,0.199507389,0,1,0,0.464285714,0.666666667,A,400/50,0.331296772
0.4,0.199507389,0,1,0,0.571428571,0.666666667,A,400/50,0.432037296
0.4,0.199507389,0,1,0,0.678571429,0.666666667,A,400/50,0.533468248
0.4,0.199507389,0,1,0,0.785714286,0.666666667,A,400/50,0.626231022
0.4,0.199507389,0,1,0,0.892857143,0.666666667,A,400/50,0.698028419
0.4,0.199507389,0,1,0,1,0.666666667,A,400/50,0.735693575
0.4,0.199507389,0,1,0,0.035714286,0,A,400/50,0.02046716
0.4,0.199507389,0,1,0,0.142857143,0,A,400/50,0.071976048
0.4,0.199507389,0,1,0,0.25,0,A,400/50,0.134552611
0.4,0.199507389,0,1,0,0.357142857,0,A,400/50,0.206125369
0.4,0.199507389,0,1,0,0.464285714,0,A,400/50,0.283550351
0.4,0.199507389,0,1,0,0.571428571,0,A,400/50,0.36615128
0.4,0.199507389,0,1,0,0.678571429,0,A,400/50,0.452765651
0.4,0.199507389,0,1,0,0.785714286,0,A,400/50,0.533877827
0.4,0.199507389,0,1,0,0.892857143,0,A,400/50,0.609834299
0.4,0.199507389,0,1,0,1,0,A,400/50,0.674213285
0.4,0.421182266,0,0,0,0.035714286,1,A,400/50,0.026182399
0.4,0.421182266,0,0,0,0.142857143,1,A,400/50,0.093830156
0.4,0.421182266,0,0,0,0.25,1,A,400/50,0.17603428
0.4,0.421182266,0,0,0,0.357142857,1,A,400/50,0.271385028
0.4,0.421182266,0,0,0,0.464285714,1,A,400/50,0.377896018
0.4,0.421182266,0,0,0,0.571428571,1,A,400/50,0.492885333
0.4,0.421182266,0,0,0,0.678571429,1,A,400/50,0.612229079
0.4,0.421182266,0,0,0,0.785714286,1,A,400/50,0.738838922
0.4,0.421182266,0,0,0,0.892857143,1,A,400/50,0.858424013
0.4,0.421182266,0,0,0,1,1,A,400/50,0.940832141
0.4,0.421182266,0,0,0,0.035714286,0.333333333,A,400/50,0.015496789
0.4,0.421182266,0,0,0,0.142857143,0.333333333,A,400/50,0.068904205
