
 ** MIDAS/Civil Beam Element Time-history Output Data ** 
___________________________________________________________


 单元=     2 梁单元     内力 时程 (局部)      单位体系 ..: m, N
--------------------------------------------- 

  TIME        AXIAL       SHEAR-y      SHEAR-z      TORSION      MOMENT-y     MOMENT-z 
        J   0.000e+000  -0.000e+000  -2.317e+001   0.000e+000  -5.510e-001   0.000e+000
  0.880 I  -0.000e+000   0.000e+000  -1.246e+001  -0.000e+000  -5.095e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.246e+001   0.000e+000  -1.358e+001   0.000e+000
  0.900 I  -0.000e+000   0.000e+000  -6.535e-001  -0.000e+000  -2.971e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.535e-001   0.000e+000  -2.775e+001   0.000e+000
  0.920 I  -0.000e+000   0.000e+000   1.249e+001  -0.000e+000  -5.825e+000  -0.000e+000
        J   0.000e+000  -0.000e+000   1.249e+001   0.000e+000  -4.328e+001   0.000e+000
  0.940 I  -0.000e+000   0.000e+000   2.733e+001  -0.000e+000   2.142e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   2.733e+001   0.000e+000  -6.056e+001   0.000e+000
  0.960 I  -0.000e+000   0.000e+000   4.422e+001  -0.000e+000   5.273e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   4.422e+001   0.000e+000  -7.991e+001   0.000e+000
  0.980 I  -0.000e+000   0.000e+000   6.326e+001  -0.000e+000   8.836e+001  -0.000e+000
        J   0.000e+000  -0.000e+000   6.326e+001   0.000e+000  -1.014e+002   0.000e+000
  1.000 I  -0.000e+000   0.000e+000   8.411e+001  -0.000e+000   1.276e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   8.411e+001   0.000e+000  -1.247e+002   0.000e+000
  1.020 I  -0.000e+000   0.000e+000   1.062e+002  -0.000e+000   1.694e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.062e+002   0.000e+000  -1.491e+002   0.000e+000
  1.040 I  -0.000e+000   0.000e+000   1.290e+002  -0.000e+000   2.129e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.290e+002   0.000e+000  -1.740e+002   0.000e+000
  1.060 I  -0.000e+000   0.000e+000   1.522e+002  -0.000e+000   2.575e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.522e+002   0.000e+000  -1.991e+002   0.000e+000
  1.080 I  -0.000e+000   0.000e+000   1.757e+002  -0.000e+000   3.029e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.757e+002   0.000e+000  -2.242e+002   0.000e+000
  1.100 I  -0.000e+000   0.000e+000   1.987e+002  -0.000e+000   3.476e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.987e+002   0.000e+000  -2.484e+002   0.000e+000
  1.120 I  -0.000e+000   0.000e+000   2.205e+002  -0.000e+000   3.904e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.205e+002   0.000e+000  -2.710e+002   0.000e+000
  1.140 I  -0.000e+000   0.000e+000   2.403e+002  -0.000e+000   4.297e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.403e+002   0.000e+000  -2.911e+002   0.000e+000
  1.160 I  -0.000e+000   0.000e+000   2.574e+002  -0.000e+000   4.642e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.574e+002   0.000e+000  -3.079e+002   0.000e+000
  1.180 I  -0.000e+000   0.000e+000   2.710e+002  -0.000e+000   4.923e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.710e+002   0.000e+000  -3.206e+002   0.000e+000
  1.200 I  -0.000e+000   0.000e+000   2.804e+002  -0.000e+000   5.129e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.804e+002   0.000e+000  -3.284e+002   0.000e+000
  1.220 I  -0.000e+000   0.000e+000   2.856e+002  -0.000e+000   5.255e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.856e+002   0.000e+000  -3.312e+002   0.000e+000
  1.240 I  -0.000e+000   0.000e+000   2.874e+002  -0.000e+000   5.322e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.874e+002   0.000e+000  -3.300e+002   0.000e+000
  1.260 I  -0.000e+000   0.000e+000   2.873e+002  -0.000e+000   5.356e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.873e+002   0.000e+000  -3.264e+002   0.000e+000
  1.280 I  -0.000e+000   0.000e+000   2.869e+002  -0.000e+000   5.387e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.869e+002   0.000e+000  -3.219e+002   0.000e+000
  1.300 I  -0.000e+000   0.000e+000   2.875e+002  -0.000e+000   5.444e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.875e+002   0.000e+000  -3.180e+002   0.000e+000
  1.320 I  -0.000e+000   0.000e+000   2.906e+002  -0.000e+000   5.554e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.906e+002   0.000e+000  -3.164e+002   0.000e+000
  1.340 I  -0.000e+000   0.000e+000   2.970e+002  -0.000e+000   5.731e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.970e+002   0.000e+000  -3.177e+002   0.000e+000
  1.360 I  -0.000e+000   0.000e+000   3.057e+002  -0.000e+000   5.960e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.057e+002   0.000e+000  -3.212e+002   0.000e+000
  1.380 I  -0.000e+000   0.000e+000   3.158e+002  -0.000e+000   6.219e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.158e+002   0.000e+000  -3.255e+002   0.000e+000
  1.400 I  -0.000e+000   0.000e+000   3.267e+002  -0.000e+000   6.500e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.267e+002   0.000e+000  -3.302e+002   0.000e+000
  1.420 I  -0.000e+000   0.000e+000   3.386e+002  -0.000e+000   6.804e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.386e+002   0.000e+000  -3.355e+002   0.000e+000
  1.440 I  -0.000e+000   0.000e+000   3.514e+002  -0.000e+000   7.131e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.514e+002   0.000e+000  -3.411e+002   0.000e+000
  1.460 I  -0.000e+000   0.000e+000   3.649e+002  -0.000e+000   7.477e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.649e+002   0.000e+000  -3.470e+002   0.000e+000
  1.480 I  -0.000e+000   0.000e+000   3.791e+002  -0.000e+000   7.843e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.791e+002   0.000e+000  -3.531e+002   0.000e+000
  1.500 I  -0.000e+000   0.000e+000   3.939e+002  -0.000e+000   8.225e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.939e+002   0.000e+000  -3.593e+002   0.000e+000
  1.520 I  -0.000e+000   0.000e+000   4.096e+002  -0.000e+000   8.630e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   4.096e+002   0.000e+000  -3.657e+002   0.000e+000
  1.540 I  -0.000e+000   0.000e+000   4.261e+002  -0.000e+000   9.057e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   4.261e+002   0.000e+000  -3.725e+002   0.000e+000
  1.560 I  -0.000e+000   0.000e+000   4.422e+002  -0.000e+000   9.484e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   4.422e+002   0.000e+000  -3.782e+002   0.000e+000
  1.580 I  -0.000e+000   0.000e+000   4.561e+002  -0.000e+000   9.873e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   4.561e+002   0.000e+000  -3.809e+002   0.000e+000
  1.600 I  -0.000e+000   0.000e+000   4.659e+002  -0.000e+000   1.019e+003  -0.000e+000
        J   0.000e+000  -0.000e+000   4.659e+002   0.000e+000  -3.787e+002   0.000e+000
  1.620 I  -0.000e+000   0.000e+000   4.697e+002  -0.000e+000   1.040e+003  -0.000e+000
        J   0.000e+000  -0.000e+000   4.697e+002   0.000e+000  -3.695e+002   0.000e+000
  1.640 I  -0.000e+000   0.000e+000   4.659e+002  -0.000e+000   1.046e+003  -0.000e+000
        J   0.000e+000  -0.000e+000   4.659e+002   0.000e+000  -3.516e+002   0.000e+000
  1.660 I  -0.000e+000   0.000e+000   4.527e+002  -0.000e+000   1.035e+003  -0.000e+000
        J   0.000e+000  -0.000e+000   4.527e+002   0.000e+000  -3.231e+002   0.000e+000
  1.680 I  -0.000e+000   0.000e+000   4.290e+002  -0.000e+000   1.004e+003  -0.000e+000
        J   0.000e+000  -0.000e+000   4.290e+002   0.000e+000  -2.830e+002   0.000e+000
  1.700 I  -0.000e+000   0.000e+000   3.952e+002  -0.000e+000   9.538e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.952e+002   0.000e+000  -2.317e+002   0.000e+000
  1.720 I  -0.000e+000   0.000e+000   3.520e+002  -0.000e+000   8.860e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.520e+002   0.000e+000  -1.701e+002   0.000e+000
  1.740 I  -0.000e+000   0.000e+000   3.006e+002  -0.000e+000   8.023e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   3.006e+002   0.000e+000  -9.938e+001   0.000e+000
  1.760 I  -0.000e+000   0.000e+000   2.418e+002  -0.000e+000   7.047e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.418e+002   0.000e+000  -2.070e+001   0.000e+000
  1.780 I  -0.000e+000   0.000e+000   1.765e+002  -0.000e+000   5.944e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.765e+002   0.000e+000   6.504e+001   0.000e+000
  1.800 I  -0.000e+000   0.000e+000   1.048e+002  -0.000e+000   4.718e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   1.048e+002   0.000e+000   1.575e+002   0.000e+000
  1.820 I  -0.000e+000   0.000e+000   2.716e+001  -0.000e+000   3.375e+002  -0.000e+000
        J   0.000e+000  -0.000e+000   2.716e+001   0.000e+000   2.560e+002   0.000e+000
  1.840 I  -0.000e+000   0.000e+000  -5.480e+001  -0.000e+000   1.945e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.480e+001   0.000e+000   3.589e+002   0.000e+000
  1.860 I  -0.000e+000   0.000e+000  -1.391e+002  -0.000e+000   4.665e+001  -0.000e+000
        J   0.000e+000  -0.000e+000  -1.391e+002   0.000e+000   4.638e+002   0.000e+000
  1.880 I  -0.000e+000   0.000e+000  -2.236e+002  -0.000e+000  -1.023e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -2.236e+002   0.000e+000   5.684e+002   0.000e+000
  1.900 I  -0.000e+000   0.000e+000  -3.063e+002  -0.000e+000  -2.484e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.063e+002   0.000e+000   6.704e+002   0.000e+000
  1.920 I  -0.000e+000   0.000e+000  -3.851e+002  -0.000e+000  -3.879e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -3.851e+002   0.000e+000   7.675e+002   0.000e+000
  1.940 I  -0.000e+000   0.000e+000  -4.582e+002  -0.000e+000  -5.171e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.582e+002   0.000e+000   8.574e+002   0.000e+000
  1.960 I  -0.000e+000   0.000e+000  -5.235e+002  -0.000e+000  -6.323e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.235e+002   0.000e+000   9.382e+002   0.000e+000
  1.980 I  -0.000e+000   0.000e+000  -5.792e+002  -0.000e+000  -7.301e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.792e+002   0.000e+000   1.008e+003   0.000e+000
  2.000 I  -0.000e+000   0.000e+000  -6.236e+002  -0.000e+000  -8.070e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.236e+002   0.000e+000   1.064e+003   0.000e+000
  2.020 I  -0.000e+000   0.000e+000  -6.548e+002  -0.000e+000  -8.597e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.548e+002   0.000e+000   1.105e+003   0.000e+000
  2.040 I  -0.000e+000   0.000e+000  -6.723e+002  -0.000e+000  -8.870e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.723e+002   0.000e+000   1.130e+003   0.000e+000
  2.060 I  -0.000e+000   0.000e+000  -6.774e+002  -0.000e+000  -8.917e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.774e+002   0.000e+000   1.140e+003   0.000e+000
  2.080 I  -0.000e+000   0.000e+000  -6.725e+002  -0.000e+000  -8.782e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.725e+002   0.000e+000   1.139e+003   0.000e+000
  2.100 I  -0.000e+000   0.000e+000  -6.600e+002  -0.000e+000  -8.514e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.600e+002   0.000e+000   1.129e+003   0.000e+000
  2.120 I  -0.000e+000   0.000e+000  -6.425e+002  -0.000e+000  -8.160e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.425e+002   0.000e+000   1.112e+003   0.000e+000
  2.140 I  -0.000e+000   0.000e+000  -6.223e+002  -0.000e+000  -7.767e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.223e+002   0.000e+000   1.090e+003   0.000e+000
  2.160 I  -0.000e+000   0.000e+000  -6.020e+002  -0.000e+000  -7.383e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -6.020e+002   0.000e+000   1.068e+003   0.000e+000
  2.180 I  -0.000e+000   0.000e+000  -5.840e+002  -0.000e+000  -7.055e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.840e+002   0.000e+000   1.046e+003   0.000e+000
  2.200 I  -0.000e+000   0.000e+000  -5.707e+002  -0.000e+000  -6.830e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.707e+002   0.000e+000   1.029e+003   0.000e+000
  2.220 I  -0.000e+000   0.000e+000  -5.633e+002  -0.000e+000  -6.731e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.633e+002   0.000e+000   1.017e+003   0.000e+000
  2.240 I  -0.000e+000   0.000e+000  -5.607e+002  -0.000e+000  -6.736e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.607e+002   0.000e+000   1.008e+003   0.000e+000
  2.260 I  -0.000e+000   0.000e+000  -5.606e+002  -0.000e+000  -6.802e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.606e+002   0.000e+000   1.002e+003   0.000e+000
  2.280 I  -0.000e+000   0.000e+000  -5.608e+002  -0.000e+000  -6.885e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.608e+002   0.000e+000   9.940e+002   0.000e+000
  2.300 I  -0.000e+000   0.000e+000  -5.590e+002  -0.000e+000  -6.939e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.590e+002   0.000e+000   9.832e+002   0.000e+000
  2.320 I  -0.000e+000   0.000e+000  -5.530e+002  -0.000e+000  -6.922e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.530e+002   0.000e+000   9.669e+002   0.000e+000
  2.340 I  -0.000e+000   0.000e+000  -5.406e+002  -0.000e+000  -6.791e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.406e+002   0.000e+000   9.427e+002   0.000e+000
  2.360 I  -0.000e+000   0.000e+000  -5.197e+002  -0.000e+000  -6.504e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -5.197e+002   0.000e+000   9.086e+002   0.000e+000
  2.380 I  -0.000e+000   0.000e+000  -4.881e+002  -0.000e+000  -6.021e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.881e+002   0.000e+000   8.622e+002   0.000e+000
  2.400 I  -0.000e+000   0.000e+000  -4.470e+002  -0.000e+000  -5.362e+002  -0.000e+000
        J   0.000e+000  -0.000e+000  -4.470e+002   0.000e+000   8.049e+002   0.000e+000
